customer_id,customer_name,order_id,order_date,shipment_date,product_id,product_description,quantity,unit_price
1GQD01,G.Q. DEFENCE - MANUFACTURING,1065,24/01/2014,31/01/2014,486009,"THREAD, NYLON - NATURAL",1,1000.00
1GQD01,G.Q. DEFENCE - MANUFACTURING,1068,29/01/2014,29/01/2014,FG-002,FG-002,1,1000.00
1GQD01,G.Q. DEFENCE - MANUFACTURING,1156,08/05/2014,08/05/2014,FG-002,FG-002,2,1000.00
1GQD01,G.Q. DEFENCE - MANUFACTURING,1206,27/05/2014,26/06/2014,SF-001,SF-001,100,300.00
1GQD02,AIRBORNE SYSTEMS LTD,1003,15/01/2014,28/08/2014,1006,L/RAFT SL31 Mk5D,2,100.00
1GQD02,AIRBORNE SYSTEMS LTD,1014,15/01/2014,14/02/2014,1032,SINGLE SEAT L/R STOWAGE LRU23P,1,1000.00
1GQD02,AIRBORNE SYSTEMS LTD,1120,06/03/2014,13/03/2014,40880001,BRACKET MOUNTING,5,238.06
1GQD02,AIRBORNE SYSTEMS LTD,1121,01/02/2014,10/03/2014,1008,L/RAFT SL30 Mk3 FINNISH A/FRCE,2,3000.00
1GQD02,AIRBORNE SYSTEMS LTD,1122,31/03/2014,10/04/2014,1008,L/RAFT SL30 Mk3 FINNISH A/FRCE,3,3000.00
1GQD02,AIRBORNE SYSTEMS LTD,1239,15/01/2014,28/08/2014,1006,L/RAFT SL31 Mk5D,1,100.00
1GQD02,AIRBORNE SYSTEMS LTD,1239,15/01/2014,28/08/2014,FREIGHT,Freight,1,250.00
1RFD01,SURVITEC DUNMURRY,1063,21/01/2014,30/05/2014,1011,L/RAFT LRU23P c/w BELLOW,5,600.00
1RFD01,SURVITEC DUNMURRY,1064,21/01/2014,27/02/2014,8335,SURVIVA  6TO/ 4/A/1/18/SoLaS,5,1435.00
1RFD01,SURVITEC DUNMURRY,1064,21/01/2014,27/02/2014,33087,AEROLITE 4F VAL153 FAR91,1,500.00
1RFD01,SURVITEC DUNMURRY,1086,11/02/2014,19/02/2014,1009,L/RAFT SL30 Mk2 (Packed),1,800.00
